"Hostname","Streaming","Issues","Model","Software","Agent","IP Address","MAC Address","Device Type","Device ID"
"a-bleaf1","Active","Vulnerability updates available / Config out of compliance","vEOS-lab","4.32.3M","1.34.1","192.168.0.133","24:95:9e:0a:93:18","EOS","0e88552b42824f6bbb2c25c983f7ad31"
"a-bleaf2","Active","Vulnerability updates available","vEOS-lab","4.32.3M","1.34.1","192.168.0.134","24:9a:5b:d3:34:b6","EOS","96b046821c3842258bbf1b697d12201a"
"a-leaf1-server1","Active","Vulnerability updates available","vEOS-lab","4.32.3M","1.34.1","192.168.0.111","24:9e:f5:ad:2f:19","EOS","6d90b40c08a44a12bd006307f88ecd25"
"a-leaf1a","Active","Vulnerability updates available","vEOS-lab","4.32.3M","1.34.1","192.168.0.33","24:aa:75:56:a5:6a","EOS","6aa0bfddefb6460b80d11c9f8ebce4e3"
"a-leaf1b","Active","Vulnerability updates available","vEOS-lab","4.32.3M","1.34.1","192.168.0.34","24:d0:f3:d0:07:39","EOS","9e1040869d474d779a3366964c0fc274"
"a-leaf2a","Active","Vulnerability updates available","vEOS-lab","4.32.3M","1.34.1","192.168.0.35","24:cf:93:98:cf:5a","EOS","b83d3577cc544a99b39b09a5a9c6279a"
"a-leaf2b","Active","Vulnerability updates available","vEOS-lab","4.32.3M","1.34.1","192.168.0.36","24:a9:e1:17:f4:65","EOS","dff86b564d524d3e9a97994ff87fcf08"
"a-leaf2c","Active","Vulnerability updates available","vEOS-lab","4.32.3M","1.34.1","192.168.0.37","24:8c:32:94:b2:3d","EOS","67d758b10ccb448ba7b920fcebd3962a"
"a-leaf2d","Active","Vulnerability updates available","vEOS-lab","4.32.3M","1.34.1","192.168.0.38","24:49:65:00:ac:fb","EOS","e9a7d3597d914976802ff0f6665fb3b8"
"a-spine1","Active","Vulnerability updates available","vEOS-lab","4.32.3M","1.34.1","192.168.0.31","24:e3:0e:1a:60:97","EOS","faa48f09a5ed4f0caf9bd4606898a459"
"a-spine2","Active","Vulnerability updates available","vEOS-lab","4.32.3M","1.34.1","192.168.0.32","24:7b:a8:72:d2:77","EOS","92c15ee877a24df4a7173b541c3183cb"
"b-apswitch","Active","Vulnerability updates available","vEOS-lab","4.32.3M","1.34.1","192.168.0.147","24:3c:50:3f:26:ef","EOS","fb1fd0492815460293797518c5812ffa"
"b-bleaf1","Active","Vulnerability updates available","vEOS-lab","4.32.3M","1.34.1","192.168.0.143","24:84:07:3e:57:7f","EOS","5545ce8a75fc46199c0d4efb1c8fa594"
"b-bleaf2","Active","Vulnerability updates available","vEOS-lab","4.32.3M","1.34.1","192.168.0.144","24:cd:4e:47:58:7c","EOS","017d963cd2c2407a8e3ecb1a6b5440d6"
"b-leaf1a","Active","Vulnerability updates available","vEOS-lab","4.32.3M","1.34.1","192.168.0.43","24:cb:97:60:47:83","EOS","160a6d68b2af4b33863fff37645505fa"
"b-leaf1b","Active","Vulnerability updates available","vEOS-lab","4.32.3M","1.34.1","192.168.0.44","24:9d:9c:d7:4b:4b","EOS","9a46f7d20dab432aa38194bfd61add07"
"b-leaf2a","Active","Vulnerability updates available","vEOS-lab","4.32.3M","1.34.1","192.168.0.45","24:62:7c:90:f4:6f","EOS","e528662acd58401b9c6a622b76ff178d"
"b-leaf2b","Active","Vulnerability updates available","vEOS-lab","4.32.3M","1.34.1","192.168.0.46","24:21:b6:03:d6:fc","EOS","03379434e0fc402380eb3d6bc58cdae4"
"b-leaf2c","Active","Vulnerability updates available","vEOS-lab","4.32.3M","1.34.1","192.168.0.47","24:5c:05:41:85:b0","EOS","e065c73b061449bbb4aeafe4a3610806"
"b-leaf2d","Active","Vulnerability updates available","vEOS-lab","4.32.3M","1.34.1","192.168.0.48","24:a1:36:1d:4b:6c","EOS","8c3aec1eb9ac4c17be6bf8a3c81e06e1"
"b-spine1","Active","Vulnerability updates available","vEOS-lab","4.32.3M","1.34.1","192.168.0.41","24:c0:d8:5c:4c:24","EOS","e05fb9d0fd7742baab23686ddc388b5e"
"b-spine2","Active","Vulnerability updates available","vEOS-lab","4.32.3M","1.34.1","192.168.0.42","24:b7:76:f2:a4:51","EOS","04c6b91f679a42999984c37ac5fdfd1f"
"b-wlan1","Active","Vulnerability updates available","vEOS-lab","4.32.3M","1.34.1","192.168.0.145","24:d1:d5:a2:2b:a7","EOS","a906a626d1794af896c7c59c19f860e5"
"b-wlan2","Active","Vulnerability updates available","vEOS-lab","4.32.3M","1.34.1","192.168.0.146","24:28:4a:a9:04:72","EOS","fa19c745ab364f58b7280918ad78d163"
"d-leaf1a","Active","Vulnerability updates available","vEOS-lab","4.32.3M","1.34.1","192.168.0.63","24:6b:4c:d4:8e:af","EOS","97a34181658e4f638685283614e2a22d"
"d-leaf1b","Active","Vulnerability updates available","vEOS-lab","4.32.3M","1.34.1","192.168.0.64","24:e7:d7:1a:72:7a","EOS","ea4d78feea3940f680dc520811c1d634"
"d-leaf2a","Active","Vulnerability updates available","vEOS-lab","4.32.3M","1.34.1","192.168.0.65","24:72:bb:03:b9:9c","EOS","5bd7f392f13e495281a5527399a80b91"
"d-leaf2b","Active","Vulnerability updates available","vEOS-lab","4.32.3M","1.34.1","192.168.0.66","24:b9:35:4d:15:16","EOS","e94d231243194d3388bf69a498324121"
"d-leaf2c","Active","Vulnerability updates available","vEOS-lab","4.32.3M","1.34.1","192.168.0.67","24:cf:69:39:b8:45","EOS","86df824fc91d407896c260516dd65959"
"d-leaf2d","Active","Vulnerability updates available","vEOS-lab","4.32.3M","1.34.1","192.168.0.68","24:ae:c2:a5:1c:74","EOS","f3ea70309b08407c8b67b1bf3c39fac9"
"d-spine1","Active","Vulnerability updates available","vEOS-lab","4.32.3M","1.34.1","192.168.0.61","24:32:45:ae:b7:bc","EOS","95ab87ab66974721b8f791f1555b3fbb"
"d-spine2","Active","Vulnerability updates available","vEOS-lab","4.32.3M","1.34.1","192.168.0.62","24:d5:65:e0:b0:4a","EOS","3409d809f1044d86974a472da09736c1"
